# totaSize(byte)	       msec/pat	       usec/occ	           occs	        numpats	#indexBaseName
      1061765698	    4.414240000	    0.138238597	       31932037	           1000	#wiki2gb_sA8.sAi8.sPsi8.16k
       536091618	    8.137600000	    0.254841243	       31932037	           1000	#wiki2gb_sA16.sAi64.sPsi16.16k
       374666518	   15.855840000	    0.496549594	       31932037	           1000	#wiki2gb_sA32.sAi64.sPsi32.16k
       331272214	   31.066666667	    0.972899620	       31932037	           1000	#wiki2gb_ssA64.sAi128.sPsi32.16k
       231153918	   82.066133333	    2.570024998	       31932037	           1000	#wiki2gb_sA128.sAi256.sPsi128.16k
       196398722	  827.972000000	   25.929194558	       31932037	           1000	#wiki2gb_sA512.sAi512.sPsi512.16k
       185646818	11794.680000000	  369.368230408	       31932037	           1000	#wiki2gb_sA2048.sAi2048.sPsi2048.16k
