# totaSize(byte)	 ratio (%)	       msec/doc	      usec/char	          chars	          ndocs	#indexBaseName
       536091618	    25.678	    0.694386389	    0.049810136	     2087767843	         149761	#wiki2gb_sA16.sAi64.sPsi16.16k
       374666518	    17.946	    0.700289127	    0.050233555	     2087767843	         149761	#wiki2gb_sA32.sAi64.sPsi32.16k
       331272214	    15.867	    0.694733609	    0.049835043	     2087767843	         149761	#wiki2gb_ssA64.sAi128.sPsi32.16k
       231153918	    11.072	    0.788002217	    0.056525442	     2087767843	         149761	#wiki2gb_sA128.sAi256.sPsi128.16k
