# totaSize(byte)	       msec/pat	       usec/occ	           occs	        numpats	#indexBaseName
      1061765698	    4.645600000	    0.145483985	       31932037	           1000	#wiki2gb_sA8.sAi8.sPsi8.16k
       536091618	    8.697920000	    0.272388511	       31932037	           1000	#wiki2gb_sA16.sAi64.sPsi16.16k
       374666518	   16.695360000	    0.522840431	       31932037	           1000	#wiki2gb_sA32.sAi64.sPsi32.16k
       331272214	   32.829866667	    1.028116893	       31932037	           1000	#wiki2gb_ssA64.sAi128.sPsi32.16k
       231153918	   86.285866667	    2.702172325	       31932037	           1000	#wiki2gb_sA128.sAi256.sPsi128.16k
       196398722	  878.748000000	   27.519321739	       31932037	           1000	#wiki2gb_sA512.sAi512.sPsi512.16k
       185646818	12177.912000000	  381.369719696	       31932037	           1000	#wiki2gb_sA2048.sAi2048.sPsi2048.16k
