# totaSize(byte)	       msec/pat	       usec/occ	           occs	        numpats	#indexBaseName
      1061765698	    0.886160000	    0.155415325	        5701883	           1000	#wiki2gb_sA8.sAi8.sPsi8.16k
       536091618	    1.686480000	    0.295775974	        5701883	           1000	#wiki2gb_sA16.sAi64.sPsi16.16k
       374666518	    3.350080000	    0.587539239	        5701883	           1000	#wiki2gb_sA32.sAi64.sPsi32.16k
       331272214	    6.489280000	    1.138094205	        5701883	           1000	#wiki2gb_ssA64.sAi128.sPsi32.16k
       231153918	   18.561120000	    3.255261464	        5701883	           1000	#wiki2gb_sA128.sAi256.sPsi128.16k
       196398722	  204.454000000	   35.857277324	        5701883	           1000	#wiki2gb_sA512.sAi512.sPsi512.16k
       185646818	 2782.884000000	  488.064030777	        5701883	           1000	#wiki2gb_sA2048.sAi2048.sPsi2048.16k
