#sizeIlist(byte)	       msec/pat	       usec/occ	           occs	        numpats	#indexBaseName
        47622410	    0.498000000	    0.092503244	        5383595	           1000	#torsen20gb_ds04
        40108486	    0.611200000	    0.113530085	        5383595	           1000	#torsen20gb_ds16
        38230006	    1.220400000	    0.226688672	        5383595	           1000	#torsen20gb_ds64
        37760386	    3.666400000	    0.681031913	        5383595	           1000	#torsen20gb_ds256
