#sizeIlist(byte)	       msec/pat	       usec/occ	           occs	        numpats	#indexBaseName
        47622410	   38.092000000	    0.458022004	       83166310	           1000	#torsen20gb_ds04
        40108486	   48.587000000	    0.584214930	       83166310	           1000	#torsen20gb_ds16
        38230006	  102.324000000	    1.230353974	       83166310	           1000	#torsen20gb_ds64
        37760386	  311.826000000	    3.749426901	       83166310	           1000	#torsen20gb_ds256
