# totaSize(byte)	       msec/pat	       usec/occ	           occs	        numpats	   sizeCT(byte)	sizeIlist(byte)	#indexBaseName
       781411026	    5.221000000	    0.163503506	       31932037	           1000	       25280144	      752569182	#wiki2gb_bitmap1_k16
       746760637	    6.065000000	    0.189934642	       31932037	           1000	       25280144	      717918793	#wiki2gb_bitmap1_k64
       741020813	    6.591000000	    0.206407126	       31932037	           1000	       25280144	      712178969	#wiki2gb_bitmap1_k128
