# totaSize(byte)	       msec/pat	       usec/occ	           occs	        numpats	   sizeCT(byte)	sizeIlist(byte)	#indexBaseName
       781411026	    4.012000000	    0.444171850	        9032540	           1000	       25280144	      752569182	#wiki2gb_bitmap1_k16
       746760637	    4.846464646	    0.531357690	        9029699	            990	       25280144	      717918793	#wiki2gb_bitmap1_k64
       741020813	    5.351515152	    0.586730521	        9029699	            990	       25280144	      712178969	#wiki2gb_bitmap1_k128
