# totaSize(byte)	       msec/pat	       usec/occ	           occs	        numpats	   sizeCT(byte)	sizeIlist(byte)	#indexBaseName
       763912594	    0.001700000	    0.017132261	          99228	           1000	       25280492	      735070402	#wiki2gb_bitmap1_k4
       738661872	    0.001520000	    0.015318257	          99228	           1000	       25280492	      709819680	#wiki2gb_bitmap1_k32
