# totaSize(byte)	       msec/pat	       usec/occ	           occs	        numpats	   sizeCT(byte)	sizeIlist(byte)	#indexBaseName
       763912594	    2.606400000	    0.081623355	       31932037	           1000	       25280492	      735070402	#wiki2gb_bitmap1_k4
       738661872	    2.657600000	    0.083226761	       31932037	           1000	       25280492	      709819680	#wiki2gb_bitmap1_k32
