# totaSize(byte)	 ratio (%)	  msec/interval	      usec/char	          chars	      intervals	   sizeCT(byte)	sizeIlist(byte)	#indexBaseName
       735904701	    35.248	    0.385200000	    0.029630769	      130000000	          10000	       27272408	      705070593	#wiki2gb_ts1
       734267993	    35.170	    0.842800000	    0.064830769	      130000000	          10000	       25635700	      705070593	#wiki2gb_ts8
       734017801	    35.158	    2.008400000	    0.154492308	      130000000	          10000	       25385508	      705070593	#wiki2gb_ts32
       733928213	    35.154	   11.378800000	    0.875292308	      130000000	          10000	       25295920	      705070593	#wiki2gb_ts256
       733913633	    35.153	  126.630800000	    9.740830769	      130000000	          10000	       25281340	      705070593	#wiki2gb_ts4k
