# totaSize(byte)	       msec/pat	       usec/occ	           occs	        numpats	   sizeCT(byte)	sizeIlist(byte)	#indexBaseName
       464317927	    2.895200000	    0.320529995	        9032540	           1000	       25280492	      435475735	#wiki2gb
       448037659	    3.225600000	    0.357108853	        9032540	           1000	       25280492	      419195467	#wiki2gb
